experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,volume_nuclei,intensity_mean_cyto,volume_cyto,nuclei_cyto_ratio
RY20240611,4541,BCM_60min,4,16.766067912174982,1061.073732718894,14.97118092398386,1033.1001256807708,1.1856027991146374
RY20240611,4544,BCM,1,34.554827613090424,1070.1458117890384,27.264103120807402,670.7828335056877,1.4666226478557027
RY20240611,4544,BCM,2,31.992983405280633,1198.5416197975253,25.425400743407195,1045.8037120359954,1.4091534471939884
RY20240611,4544,BCM,3,35.044327717489324,1089.3452991452991,25.235363757216668,1021.5025641025641,1.4471249698079416
RY20240611,4544,BCM,4,31.499840707412442,974.6136363636364,19.39270948385906,899.0909090909091,1.6644313312228673
RY20240611,4544,BCM,5,28.618654310108084,1096.0433436532508,23.791846272301687,801.4602683178534,1.4077013438625607
RY20240611,4544,MSN,1,38.098019219249295,1829.7637540453075,17.9510781148901,2146.948220064725,2.214970014866669
RY20240611,4544,MSN,2,25.72350208776071,1327.9226289517471,14.791720621006018,1274.054908485857,1.957017162333459
RY20240611,4544,MSN,3,32.33881507156374,1523.813852813853,16.772397682406275,1955.32683982684,2.055647685327616
RY20240611,4544,MSN,4,28.2893359556401,1667.8609738884968,13.750328448628332,1909.54481298518,2.0541826082261494
RY20240611,4544,MSN,5,30.016494830831434,1600.5556257901392,15.362691563440206,1830.6946902654868,1.9537300364694632
RY20240611,4544,PGE2,1,19.040931483690052,1148.6734505087882,10.582439592096414,1358.3071230342275,1.8451459259633343
RY20240611,4544,PGE2,2,35.60223018749246,1166.8454935622317,17.19369084096702,1369.002861230329,2.1982453935232122
RY20240611,4544,PGE2,3,20.978941526379536,1600.6609829488466,10.763953706611204,1673.1273821464392,2.147049980492233
RY20240611,4544,PGE2,4,22.859696577524886,1379.7101694915254,11.147780694387006,1725.2237288135593,1.9469604947627153
RY20240611,4544,PGE2,5,11.985779807503047,1015.5559845559845,8.053668343867779,1176.0096525096526,1.571400910955324
RY20240612,4541,BCM_60min,5,17.73152252774336,1079.178055447091,15.613061412151815,1080.3483014447481,1.2384083337762295
RY20240612,4541,BCM_60min,6,23.64696542753832,1118.3970256872465,17.881118824316573,981.9040108156828,1.393184496195926
RY20240612,4541,MSN_60min,1,15.568716401623194,1192.1713458755428,10.814457369927592,1414.251519536903,1.4931792127709271
RY20240612,4541,MSN_60min,2,14.13473034757007,1107.1183673469388,6.797658104437583,1534.5377551020408,1.9310991986797166
RY20240612,4541,MSN_60min,3,15.007422951374407,1302.508652657602,11.811043023149226,1557.7079728059332,1.3451321966042487
RY20240612,4541,MSN_60min,4,18.39250712235497,873.2237442922375,13.082218629288514,715.1424657534246,1.5909955604225343
RY20240612,4541,MSN_60min,5,20.368599300488455,1423.0612139917696,11.947421343439776,1712.8479938271605,1.7701642345730046
RY20240612,4541,MSN_60min,6,16.193515885744635,1001.6493640426263,10.80301794969765,965.1588174630457,1.6539627073270275
RY20240612,4541,PGE2_60min,1,15.070398156910716,1298.86989010989,11.323920052318437,1314.0995604395605,1.390901490066096
RY20240612,4541,PGE2_60min,2,35.114698812078295,1636.7444501806917,20.266878952067977,1618.447083118224,1.913252267584967
RY20240612,4541,PGE2_60min,3,36.522710987606054,1879.6036529680366,18.946358402098934,2066.1643835616437,2.0984124556553017
RY20240612,4541,PGE2_60min,4,18.85169532842948,963.9291386682956,15.269234525698206,890.8375076359193,1.2443604876314116
RY20240612,4541,PGE2_60min,5,22.959818375714168,1354.1405135520686,14.103166013527089,1593.4928673323823,1.6578423272218572
RY20240612,4543,BCM_60min,1,12.032206012376967,975.3485273492286,9.114710183931463,1300.360098176718,1.2679907039850795
RY20240612,4543,BCM_60min,2,34.60703021558153,912.905031892275,24.286303625236638,655.7965981573352,1.7115401787535427
RY20240612,4543,BCM_60min,3,19.657606486312652,977.4679648241206,18.459556434038287,712.4849246231156,1.2554354041406723
RY20240613,4543,BCM_60min,4,33.15075389729176,987.4708311822405,22.499281665237582,739.5895715023232,1.723203454315473
RY20240613,4543,BCM_60min,5,23.34987889564549,938.884246188594,19.413505076490125,654.905138339921,1.5271516423511688
RY20240613,4543,BCM_60min,6,20.695448438002614,901.7270220588235,15.787300866207124,708.8207720588235,1.343260027842111
RY20240613,4543,MSN_60min,1,31.933840683357893,1215.2911426277763,20.012275692981525,994.98929622692,1.7419767714859917
RY20240613,4543,MSN_60min,2,30.030511634808608,1226.7330383480826,17.959901430723555,1511.6895280235988,1.7272558987145017
RY20240613,4543,MSN_60min,3,25.89734129330969,874.3441860465116,18.41858152727098,629.0,1.6698625562789398
RY20240613,4543,MSN_60min,4,33.90793211836035,1164.2712903225806,19.456592458364263,1133.1387096774195,1.8885453305473792
RY20240613,4543,MSN_60min,5,22.501187952016537,951.5894206549118,15.243311578929157,1000.5800647715006,1.5831563742426151
RY20240613,4543,MSN_60min,6,32.55645402164633,1255.9066666666668,17.302272531235477,1513.6236363636363,1.8254347794665247
RY20240614,4543,PGE2_60min,1,30.457738651157072,1318.8413637644408,21.349387692642946,1232.3730628346013,1.4645866071321758
RY20240614,4543,PGE2_60min,2,24.563817228653004,1170.850635129216,15.894526368124994,1227.5216819973718,1.5634207435947534
RY20240614,4543,PGE2_60min,3,27.890979435617794,1467.3676544450025,14.080788967054097,1708.9613259668508,2.099202170534702
RY20240614,4543,PGE2_60min,4,31.094238100236442,1320.4228687415425,20.646299046572285,1484.9952638700947,1.5559328118690088
RY20240614,4543,PGE2_60min,5,48.72306999751418,1843.0070609002648,25.37755756670086,2058.4695498676083,2.0845702953037093
RY20240614,4543,dmPGE2_60min,1,53.223101641626144,1796.247663551402,25.349535854109348,1775.109479305741,2.3134019365983813
RY20240614,4543,dmPGE2_60min,2,48.04521619895975,1735.9770290964777,23.09929614520404,1954.7963246554364,2.231597974318522
RY20240614,4543,dmPGE2_60min,3,37.98832924309843,1488.781747435444,20.95740590477513,1527.8326848249028,1.9380993223190746
RY20240614,4543,dmPGE2_60min,4,42.63549929556306,1612.3985102420856,23.065286509173458,1900.5810055865923,1.9571523659560177
RY20240614,4543,dmPGE2_60min,5,38.30686892721559,1306.6151315789473,19.280753781154903,1510.5098684210527,2.173983028052807
RY20240618,4544,BCM_60min,1,29.654722109952743,1015.6645064805583,20.811981176816317,662.1086739780658,1.6587587448065333
RY20240618,4544,BCM_60min,2,36.06899007786684,885.7314049586777,26.748107176256926,753.4297520661157,1.5372793624202081
RY20240618,4544,BCM_60min,3,24.40260309942923,949.2242562929061,15.22429517290781,762.8718535469108,1.6570347946772548
RY20240618,4544,BCM_60min,4,29.113468857469858,999.7771709448389,28.546312574663087,841.0851993446204,1.142479095643447
RY20240618,4544,BCM_60min,5,38.8162693079665,975.9294787560228,25.68241685948157,661.5755584756898,1.755565468347108
RY20240618,4544,BCM_60min,6,28.071507121675022,1169.1302950075642,21.13824731173041,1070.999243570348,1.3771371634065048
RY20240618,4544,MSN_60min,1,45.313844164418455,1049.462802768166,25.328693790590123,879.3641868512111,1.9924914617849854
RY20240618,4544,MSN_60min,2,30.105422014092202,1461.8922484881803,22.610856735038137,1548.5459043430455,1.457207038548898
RY20240619,4544,MSN_60min,3,15.342923493036327,885.0449718925671,9.483134599621218,750.3710181136789,1.8244556817961055
RY20240619,4544,MSN_60min,4,35.98551264431185,1445.9445701357465,21.645702717976068,1412.1849547511313,1.7802732643623536
RY20240619,4544,MSN_60min,5,36.290882293566995,1583.883296460177,19.84906480126662,1561.2837389380531,2.0162925819309945
RY20240619,4544,MSN_60min,6,25.03656938450285,903.292576419214,16.113229947703918,585.9633187772926,1.8861100211208963
RY20240619,4544,PGE2_60min,1,45.58108128398185,1561.6246830092985,27.331436742354946,1666.1327134404057,1.8182861149312222
RY20240619,4544,PGE2_60min,2,39.57642601476796,1609.0158910329171,21.430027739985206,1627.9103291713961,1.9403543891769814
RY20240619,4544,PGE2_60min,3,32.18468547184814,1590.5279054497703,21.740037962684845,1897.4386080105055,1.5915704355229543
RY20240619,4544,PGE2_60min,4,26.343506240315467,1211.40826873385,20.712437601479376,1234.215503875969,1.3663491713533742
RY20240619,4544,PGE2_60min,5,36.1891207815928,1316.1027586206897,23.46125321847557,1464.3586206896553,1.6774351068500333
RY20240619,4544,PGE2_60min,6,23.44952601270033,1520.9986288848263,14.45439321800067,1877.8386654478977,1.656957742230676
