,experiment_id,mouse_id,treatment_id,replica_id,intensity_mean_nuclei,area_nuclei,intensity_mean_cyto,area_cyto,nuclei_cyto_ratio
46,RY20240611,4544,BCM,1,29.9877182721891,272.7811447811448,29.334961153510392,667.7878787878788,1.2240059118965634
47,RY20240611,4544,BCM,2,31.23151020238159,251.83119266055047,29.153163790648136,631.0036697247706,1.1243709735505678
48,RY20240611,4544,BCM,3,28.51711468573567,250.61565836298934,24.444250129395268,630.5373665480427,1.3154217865362956
49,RY20240611,4544,BCM,4,15.509502110878627,239.93076923076924,13.283312804462053,656.6307692307693,1.2675872395348955
50,RY20240611,4544,BCM,5,24.903525397600085,266.66011235955057,24.685849339774485,618.2612359550562,1.087716183907871
51,RY20240611,4544,MSN,1,29.261032527491246,308.44520547945206,20.009242047472817,803.582191780822,2.0673964720268416
52,RY20240611,4544,MSN,2,22.357286231194887,254.77365491651207,17.069867810141123,670.6363636363636,1.499538339445657
53,RY20240611,4544,MSN,3,26.499780527578324,301.46122448979594,18.855488689483277,746.2081632653061,1.6182598895328102
54,RY20240611,4544,MSN,4,26.0883258367977,289.33284671532846,18.84978101789734,769.7839416058395,1.3742838916303046
55,RY20240611,4544,MSN,5,28.379311617953437,272.47714285714284,21.242523829117417,719.6657142857143,1.3315162506850264
56,RY20240611,4544,PGE2,1,16.890686707888488,280.4537037037037,12.201639959495514,665.8907407407407,1.590280242528764
57,RY20240611,4544,PGE2,2,30.18262922095439,274.3870246085011,19.538480197623272,596.9843400447427,1.7691452116979252
58,RY20240611,4544,PGE2,3,18.921659253302664,289.7792207792208,12.775015461560967,695.4768089053804,1.5699952837805673
59,RY20240611,4544,PGE2,4,21.3858042115698,246.62889812889813,15.132799241815746,651.9147609147609,1.3601171638983434
60,RY20240611,4544,PGE2,5,7.626203686149265,229.18609865470853,6.001385385070347,540.6860986547085,1.5433691742613855
61,RY20240612,4541,BCM_60min,5,16.73885118420438,232.885231316726,17.631251770883694,559.6290035587189,0.9491710895976019
62,RY20240612,4541,BCM_60min,6,14.186693013339173,233.0314465408805,12.117568004899805,596.1069182389937,1.2176028776833043
63,RY20240612,4541,MSN_60min,1,16.4945966262709,240.46270396270396,13.773492008968667,591.9708624708625,1.1987403335642886
64,RY20240612,4541,MSN_60min,2,12.625613655003368,269.6032786885246,8.2931811757401,667.3032786885246,1.587435512362901
65,RY20240612,4541,MSN_60min,3,15.583147815578682,249.3474982864976,14.0886596137322,636.6819739547635,1.1015039874279047
66,RY20240612,4541,MSN_60min,4,17.39721626551162,229.70104633781764,16.79118251105595,593.1629297458894,1.0105571086097465
67,RY20240612,4541,MSN_60min,5,21.157817838989157,250.00460829493088,15.778136390755863,602.4357398873528,1.3453535299534418
68,RY20240612,4541,MSN_60min,6,15.292881191451299,224.07684210526315,14.017118896791025,629.8852631578948,1.0804448649983505
69,RY20240612,4541,PGE2_60min,1,15.34277528181173,233.12871659766654,13.825509145199737,524.4151298456907,1.1040689756039823
70,RY20240612,4541,PGE2_60min,2,36.31813098905516,285.49795081967216,26.87836681110937,643.9159836065573,1.3753983303283948
71,RY20240612,4541,PGE2_60min,3,36.56684609456741,298.5388349514563,25.60125598234266,738.4805825242719,1.4688560238375155
72,RY20240612,4541,PGE2_60min,4,17.078942213365067,240.834179357022,15.285346305082896,635.8206429780034,1.1492429801979025
73,RY20240612,4541,PGE2_60min,5,22.33302224825605,259.72496984318457,16.833055725089746,587.4692400482509,1.3261052761064662
74,RY20240612,4543,BCM_60min,1,34.792029815565705,238.81472868217054,26.30881997804309,586.122480620155,1.3336354713951102
75,RY20240612,4543,BCM_60min,2,30.420098633422114,225.4857723577236,27.22872774805722,530.880081300813,1.166799838900828
